'Adam Afriyie','AdamAfriyie','Windsor'
'Adrian Bailey','Adrian_Bailey','West Bromwich West'
'Adrian Sanders','adriansandersmp','Torbay'
'Aidan Burley','AidanBurleyMP','Cannock Chase'
'Alan Duncan','AlanDuncan4MP','Rutland and Melton'
'Alan Whitehead','alanwhiteheadmp','Southampton, Test'
'Alasdair McDonnell','AMcDonnellMP','Belfast South'
'Alec Shelbrooke','AlecShelbrooke','Elmet and Rothwell'
'Alex Cunningham','ACunninghamMP','Stockton North'
'Alison McGovern','Alison_McGovern','Wirral South'
'Alison Seabeck','alisonseabeck','Plymouth, Devonport'
'Alistair Carmichael','acarmichaelmp','Orkney and Shetland'
'Alun Cairns','AlunCairns','Vale of Glamorgan'
'Amber Rudd','AmberRuddMP','Hastings and Rye'
'AnasSarwar','AnasSarwar','Glasgow Central'
'Andrea Leadsom','andrealeadsom','South Northamptonshire'
'Andrew Bingham','HighPeakAndrew','High Peak'
'Andrew Bridgen','AndrewBridgenMP','North West Leicestershire'
'Andrew George','AndrewGeorgeLD','St Ives'
'Andrew Griffiths','agriffithsmp','Burton'
'Andrew Gwynne','GwynneMP','Denton and Reddish'
'Andrew Jones','AndrewJonesMP','Harrogate and Knaresborough'
'Andrew Miller','APMiller1949','Ellesmere Port and Neston'
'Andrew Murrison','murrisonMP','Westbury'
'Andrew Percy','andrewpercy','Brigg and Goole'
'Andrew Rosindell','AndrewRosindell','Romford'
'Andrew Selous','Andrew_SelousMP','South West Bedfordshire'
'Andrew Stephenson','Andrew4Pendle','Pendle'
'Andy Burnham','leighmp','Leigh'
'Andy Sawford','AndySawfordMP','Corby'
'Andy Slaughter','hammersmithandy','Hammersmith'
'Angela Eagle','angelaeagle','Wallasey'
'Angela Smith','angelasmithmp','Penistone and Stocksbridge'
'Angie Bray','AngieBrayMP','Ealing Central and Acton'
'Angus MacNeil','AngusMacNeilMP','Na h-Eileanan an Iar'
'Angus Robertson','MorayMP','Moray'
'Anna Soubry','Anna_SoubryMP','Broxtowe'
'Ann Coffey','anncoffey_mp','Stockport'
'Anne Marie Morris','AMMorrisMP','Newton Abbot'
'Anne McGuire','AnneMcGuireMP','Stirling'
'Anne McIntosh','AnneMcIntoshMP','Thirsk and Malton'
'Anne Milton','AnneMiltonMP','Guildford'
'Annette Brooke','Annette4MDNP','Mid Dorset and North Poole'
'Ann McKechin','AnnMcKechinMP','Glasgow North'
'Austin Mitchell','AVMitchell2010','Great Grimsby'
'Barbara Keeley','KeeleyMP','Worsley'
'Barry Gardiner','BarryGardiner','Brent North'
'Barry Sheerman','BSheermanMP','Huddersfield'
'Ben Bradshaw','BenPBradshaw','Exeter'
'Ben Gummer','ben4ipswich','Ipswich'
'Bernard Jenkin','bernardjenkin','North Essex'
'Bill Cash','BillCashMP','Stone'
'Bill Esterson','BillEstersonMP','Sefton Central'
'Bob Ainsworth','BobAinsworthMP','Coventry North East'
'Brandon Lewis','BrandonLewis','Great Yarmouth'
'Bridget Phillipson','bphillipsonMP','Houghton and Sunderland South'
'Brooks Newmark','TweetBrooks','Braintree'
'Caroline Dinenage','cj_dinenage','Gosport'
'Caroline Flint','CarolineFlintMP','Don Valley'
'Caroline Lucas','CarolineLucas','Brighton, Pavilion'
'Caroline Nokes','carolinenokes','Romsey and Southampton North'
'Catherine McKinnell','CatMcKinnellMP','Newcastle upon Tyne North'
'Cathy Jamieson','cathyjamieson','Kilmarnock and Loudoun'
'Charles Kennedy','charles_kennedy','Ross, Skye and Lochaber'
'Charlie Elphicke','CharlieElphicke','Dover'
'Charlotte Leslie','CLeslieMP','Bristol North West'
'Cheryl Gillan','CherylGillanMP','Chesham and Amersham'
'Chi Onwurah','ChiOnwurah','Newcastle upon Tyne Central'
'Chloe Smith','ChloeSmithMP','Norwich North'
'Chris Bryant','ChrisBryantMP','Rhondda'
'Chris Heaton-Harris','chhcalling','Daventry'
'Chris Leslie','ChrisLeslieMP','Nottingham East'
'Chris Ruane','ChrisRuaneMP','Vale of Clwyd'
'Chris Skidmore','chrisskidmoremp','Kingswood'
'Christopher Huhne','ChrisHuhne','Eastleigh'
'Christopher Pincher','ChrisPincher','Tamworth'
'Chris White','ChrisWhite_MP','Warwick and Leamington'
'Chris Williamson','ChriswMP','Derby North'
'Chuka Umunna','ChukaUmunna','Streatham'
'Claire Perry','claire4devizes','Devizes'
'Clive Betts','CliveBettsMP','Sheffield, Attercliffe'
'Clive Efford','CliveEfford','Eltham'
'Conor Burns','Conor_BurnsMP','Bournemouth West'
'Conor Murphy','conormurphymp','Newry and Armagh'
'Craig Whittaker','Craig_Whittaker','Calder Valley'
'Crispin Blunt','crispinbluntmp','Reigate'
'Dame Anne Begg','annebegg','Aberdeen South'
'Damian Collins','DamianCollins','Folkestone and Hythe'
'Damian Green','damiangreenmp','Ashford'
'Damian Hinds','damian57','East Hampshire'
'Dan Byles','danielbyles','North Warwickshire'
'Daniel Poulter','DrDanPoulter','Central Suffolk and North Ipswich'
'Dan Jarvis','DanJarvisMP','Barnsley Central'
'Danny Alexander','dannyalexander','Inverness, Nairn, Badenoch and Strathspey'
'David Burrowes','davidburrowesmp','Enfield, Southgate'
'David Cameron','David_Cameron','Witney'
'David Evennett','DavidEvennett','Bexleyheath and Crayford'
